,组合,指数
2012-07-03,0.010379620237370936,0.0017879999999999999
2012-07-04,-0.00530359269665126,-0.005128000000000001
2012-07-05,-0.017882684567141816,-0.022742
2012-07-06,0.026114874109106623,0.019994
2012-07-09,-0.015712435926690804,-0.025166
2012-07-10,-0.012082575074990444,-0.00975
2012-07-11,0.014112851229263867,0.011420999999999999
2012-07-12,0.019405332592790318,0.013571
2012-07-13,-0.0042278176007291,-0.004411
2012-07-16,-0.02996357112064274,-0.036097000000000004
2012-07-17,0.006307611424160031,0.007006
2012-07-18,0.007520689066174757,0.005567
2012-07-19,0.010841038928589564,0.011873
2012-07-20,-0.009313306370219545,-0.006704
2012-07-23,-0.009713519903852386,-0.009513
2012-07-24,0.003838084789339557,0.006961
2012-07-25,-0.0011599020354007281,-0.00863
2012-07-26,-0.008577874434429367,-0.008928
2012-07-27,-0.003222121547540202,-0.005676
2012-07-30,-0.015402997389490912,-0.020143
2012-07-31,-0.01823438876624461,-0.018106999999999998
2012-08-01,0.01861310833380192,0.01804
2012-08-02,0.002570679565941924,-0.006318000000000001
2012-08-03,0.025487610880207567,0.020024
2012-08-06,0.02130714558480684,0.023746999999999997
2012-08-07,0.00517139474477557,0.009285
2012-08-08,-0.005785953910042108,-0.0034939999999999997
2012-08-09,0.014469711914401271,0.014471000000000001
2012-08-10,0.001413515411452071,-0.0027050000000000004
2012-08-13,-0.016358106366309744,-0.022895
2012-08-14,0.002874660336447565,0.009489
2012-08-15,-0.010210602437894734,-0.011567000000000001
2012-08-16,-0.008466938810285818,-0.007252
2012-08-17,0.002121882705163225,-1.5e-05
2012-08-20,0.006949966615686698,0.0008100000000000001
2012-08-21,0.020070052180748643,0.014079999999999999
2012-08-22,-0.00532823373507918,-0.008886
2012-08-23,0.003921503670893278,0.006618000000000001
2012-08-24,-0.02111006634155832,-0.018702
2012-08-27,-0.01484550776969129,-0.024931000000000002
2012-08-28,0.007016821004874885,0.005232
2012-08-29,-0.002506485572797312,-0.0067020000000000005
2012-08-30,-0.02623453531144926,-0.01574
2012-08-31,0.0035522712189162142,0.0031969999999999998
2012-09-03,0.020577822733740758,0.019368
2012-09-04,-0.006512702166091899,-0.011086
2012-09-05,0.0054097363568337276,0.005363
2012-09-06,0.011514534146001676,0.011356999999999999
2012-09-07,0.03045880675671908,0.036273
2012-09-10,0.007264906644506297,0.00868
2012-09-11,-0.001525717300457918,-0.004019
2012-09-12,0.005898490680508628,0.007771
2012-09-13,-0.015653702345313714,-0.013869
2012-09-14,0.000103012317184125,0.002625
2012-09-17,-0.02779041070569266,-0.030057999999999998
2012-09-18,-0.00032568150704348405,-0.0041530000000000004
2012-09-19,0.008719495518833664,0.009803
2012-09-20,-0.03165604134400135,-0.028902999999999998
2012-09-21,-0.010777045569282828,-0.00571
2012-09-24,0.004869851167727201,0.00746
2012-09-25,-0.009940931935530584,-0.007184
2012-09-26,-0.028168152332697982,-0.023031000000000003
2012-09-27,0.023615034798437406,0.022490999999999997
2012-09-28,0.0198981101824256,0.018678
2012-10-08,-0.0016308558336119992,-0.005121
2012-10-09,0.027908530307407364,0.025838
2012-10-10,0.009064463547587389,0.009587
2012-10-11,-0.015664146980820193,-0.014825
2012-10-12,-0.001601128323634459,-0.002354
2012-10-15,-0.0030979769691574788,-0.005311
2012-10-16,0.007477548054351191,0.003115
2012-10-17,0.001355969396003464,0.0023350000000000003
2012-10-18,0.017014506405065966,0.01668
2012-10-19,-0.0043516513744444865,-0.0028499999999999997
2012-10-22,0.006777639174205596,0.0039700000000000004
2012-10-23,-0.01720945971332255,-0.011951
